year,state_county,yrly_new_props,cur_props,.dec_2000_total_occupied,.dec_2000_total_renter_occupied,.dec_2000_total_vacant,.dec_2000_total_pop_occupied,.dec_2000_total_pop_renter_occupied,.dec_2000_total_pop,.dec_2000_avg_household_size,.dec_2000_median_age,.dec_2000_median_income,.acs_2010_total_pop,.acs_2010_total_pop_occupied,.acs_2010_total_pop_renter_occupied,.acs_2010_total_vacant,.acs_2010_median_income,.acs_2010_median_age,.acs_2020_total_pop,.acs_2020_total_pop_occupied,.acs_2020_total_pop_renter_occupied,.acs_2020_total_vacant,.acs_2020_median_income,.acs_2020_median_age
1975,24013,0,0,52503,21729,1757,147316,140,150897,2.81,36.9,66430,167208,139465,16609,2615,35717,44.4,168233,139465,18947,2506,43291,45.3
1975,24021,0,0,70060,39638,2957,190622,917,195277,2.72,35.6,67879,229205,176657,27985,4980,38405,42.8,255955,195847,38290,4880,45373,43.7
1975,24025,0,0,79667,41661,3479,217028,763,218590,2.72,36.2,63868,242888,201142,26526,5377,36607,43.3,253736,203607,33159,5858,43528,44
1975,24027,0,0,90043,52313,2775,244224,5077,247842,2.71,35.5,85422,279366,215459,35630,4656,50038,43.9,322407,241936,54682,4377,58164,44.4
1975,24031,0,0,324565,242712,10067,863910,26900,873341,2.66,36.8,84035,947230,673694,170637,18584,43468,43.6,1047661,700890,239341,17650,50040,44.4
1975,24033,0,0,286610,280150,15768,784158,9725,801515,2.74,33.3,62467,854722,549962,187299,23259,35899,41.1,910551,563315,245174,18773,41402,42.5
1975,24037,0,0,30642,21757,3439,83429,407,86211,2.72,34.2,61397,102086,73560,15992,4288,37963,41.9,113182,80348,20574,4587,43851,41.5
1975,24510,0,0,257996,291010,42481,625401,5266,651154,2.42,35,35438,620538,309742,209230,58223,22997,39.2,602274,292745,220301,51437,31089,37.8
1975,25005,0,0,205411,169648,11507,521004,3192,534678,2.54,36.7,53733,546433,367021,116986,18483,26509,42.1,563301,367943,144293,15678,34629,43.5
1975,25009,0,0,275419,224569,11725,706530,6953,723419,2.57,37.5,63746,735642,502861,156527,21989,31151,43.6,787038,517451,205084,16702,37335,44
1975,25011,0,0,29466,19665,2473,70129,366,71535,2.38,39.5,50915,71523,51855,12508,3089,27276,45.5,70529,50240,14429,3374,32540,46.5
1975,25013,0,0,175288,155176,10588,441799,2462,456228,2.52,36.4,49257,462270,291444,107993,13938,24160,43.4,466647,286562,132988,13221,30381,42.9
1975,25017,0,0,561220,455676,15461,1412506,40274,1465396,2.52,36.4,74194,1479491,980279,297800,34352,36000,42.3,1605899,1026262,378875,29428,48230,42
1975,25021,0,0,248827,147955,6327,632876,12077,650308,2.54,38.1,77847,662077,487145,104390,12877,38148,44,703740,511254,128080,12213,48912,44.2
1975,25023,0,0,168361,92699,13163,461098,969,472822,2.74,36.8,65554,490784,386836,62480,19063,33029,44.4,518597,406317,77481,17701,41029,45.7
1975,25025,0,0,278722,412907,13798,653214,32321,689807,2.34,31.7,44361,704460,258419,278923,27940,26234,35,801162,290121,347842,28253,36591,35.4
1975,25027,0,0,283927,222589,14232,725791,9261,750963,2.56,36.3,58394,791855,549623,151959,25745,30902,43,826655,556279,188749,22452,36595,44.1
1975,26037,0,0,23653,7983,977,63948,32,64753,2.7,36.7,60491,74235,62146,7049,2102,29582,42.6,78957,64337,9350,1773,35936,43.4
1975,26049,0,0,169825,105135,13805,430794,1049,436141,2.54,35,50090,433054,314731,70523,24375,24323,41.6,406770,285857,83207,22002,27604,42.3
1975,26075,0,0,58168,31045,4738,148383,286,158422,2.55,36.6,50970,161569,118265,20499,8484,23301,43,158174,114045,25246,7503,29056,44
1975,26081,0,0,212890,141468,11110,561546,3245,574335,2.64,32.5,54770,599432,434077,85037,18601,25114,40.1,652617,468805,112773,12320,32002,39.8
1975,26099,0,0,309203,130054,11073,779288,4943,788149,2.52,36.9,62816,837490,674085,97342,25205,27735,41.9,870893,657141,151755,18344,32374,42.7
1975,26125,0,0,471115,235402,20891,1180408,17260,1194156,2.51,36.7,75540,1201113,927009,155659,45653,33381,43.4,1255340,935736,218455,32505,40638,43.6
1975,26161,0,0,125327,103647,5742,301593,10847,322895,2.41,31.3,70393,343947,214783,53443,13108,28228,39.9,368385,224840,71604,8713,35419,38.8
1975,26163,0,0,768440,632021,57705,2028544,12941,2061162,2.64,34,48805,1870362,1258080,394074,135385,22982,41.4,1753059,1106546,476574,120096,27902,41.5
1975,27003,0,0,106428,37950,1663,295106,588,298084,2.77,33.7,64261,327544,271758,29457,5499,33910,42.2,353775,287892,44804,3969,40331,43
1975,27009,0,0,13065,8130,395,33457,127,34226,2.56,31.9,51277,38148,28507,4675,1080,26361,38.9,40476,28456,7698,804,34718,40.1
1975,27019,0,0,24356,8483,527,69186,164,70205,2.84,33.9,73577,88668,76077,6520,1629,37703,42.6,103561,88077,10416,1506,47669,43.9
1975,27037,0,0,131151,59993,2599,353583,2398,355904,2.7,33.7,71062,393380,315603,42205,6746,37214,41.9,425271,324567,69211,4789,43111,42.6
1975,27053,0,0,456129,306125,12695,1087984,18882,1116200,2.39,34.9,65985,1136522,761288,200341,33084,32258,40.6,1255296,810670,284461,25331,41989,39.9
